ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Countries,Durations,Ecoregions,Heights,"Light Requirements","Plant Types","Seasons of Interest","Water Needs","Scientific Name",Countries,"Season of Interest","Height Range",Min-Height,"Max Height","Min Spread","Max Spread","Plant Gallery"
10574,Gumbo-Limbo,"This tropical tree has distinctive coppery-red, peeling bark and it forms a dense canopy of pinnate leaves with a feathery appearance. It is an adaptable and drought-tolerant tree resistant to harsh weather conditions.",,"2025-06-09 10:33:23",plant,https://homegrownnationalpark.org/plant/gumbo-limbo/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba_leaves.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba_zoomed-out.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba-1.png,Bursera-simaruba_leaves.jpg|Bursera-simaruba_zoomed-out.jpeg|Bursera-simaruba.png|Bursera-simaruba-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Bursera-simaruba_leaves.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Bursera-simaruba_zoomed-out.jpeg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Bursera-simaruba.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Bursera-simaruba-1.png,12503|12504|12505|12506,Bursera-simaruba_leaves.jpg|Bursera-simaruba_zoomed-out.jpeg|Bursera-simaruba.png|Bursera-simaruba-1.png,|||,|||,|||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba_leaves.jpg,,,,,,,,,"United States",Perennial,"15.4 - Everglades","20–30 ft|30–50 ft","Full Sun|Partial Sun",Tree,,Average|High|Low,"Bursera simaruba","United States",,"20–30 ft|30–50 ft",24,40,25,30,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba_leaves.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba_zoomed-out.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Bursera-simaruba-1.png
10576,"Southern Live Oak","This evergreen oak has a sprawling canopy with horizontally spreading branches covered in dense, dark green leaves. They are resilient and long lived, tolerating salt spray, drought, and strong winds.",,"2025-06-09 10:32:36",plant,https://homegrownnationalpark.org/plant/southern-live-oak/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-virginiana.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-virginiana-1.png,Quercus-virginiana.png|Quercus-virginiana-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-virginiana.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-virginiana-1.png,12507|12508,Quercus-virginiana.png|Quercus-virginiana-1.png,|,|,|,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-virginiana.png,,,,,,,,,"United States",Perennial,"8.5 - Mississippi Alluvial &amp; SE USA Coastal Plains|9.5 - Texas-Lousiana Coastal Plains|15.4 - Everglades","30–50 ft|50+ ft","Full Sun",Tree,,Average|Low,"Quercus virginiana","United States",,"30–50 ft|50+ ft",40,80,60,100,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-virginiana.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-virginiana-1.png
10578,"Wild Coffee","This versatile evergreen shrub has glossy, dark green leaves and small, fragrant white flowers. It is well suited to shade, and produces seeds similar appearance to coffee beans.",,"2025-06-09 10:32:36",plant,https://homegrownnationalpark.org/plant/wild-coffee/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa_berries.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa_zoomed-out-flowers.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa-1.png,Psychotria-nervosa_berries.jpg|Psychotria-nervosa_zoomed-out-flowers.jpeg|Psychotria-nervosa.png|Psychotria-nervosa-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Psychotria-nervosa_berries.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Psychotria-nervosa_zoomed-out-flowers.jpeg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Psychotria-nervosa.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Psychotria-nervosa-1.png,12509|12510|12511|12512,Psychotria-nervosa_berries.jpg|Psychotria-nervosa_zoomed-out-flowers.jpeg|Psychotria-nervosa.png|Psychotria-nervosa-1.png,|||,|||,|||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa_berries.jpg,,,,,,,,,"United States",Perennial,"15.4 - Everglades","2–3 ft|3–4 ft|4–5 ft|5–7 ft|7–10 ft|10–15 ft","Partial Sun|Shade",Shrub,,Average|Low,"Psychotria nervosa","United States",,"2–3 ft|3–4 ft|4–5 ft|5–7 ft|7–10 ft|10–15 ft",2,10,3,5,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa_berries.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa_zoomed-out-flowers.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Psychotria-nervosa-1.png
10580,"Southern Wax Myrtle","This evergreen plant has fragrant, leathery leaves and small, grayish berries. Its dense foliage provides privacy screening and windbreaks, and it can also be pruned into a hedge.",,"2025-06-09 10:33:23",plant,https://homegrownnationalpark.org/plant/southern-wax-myrtle/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_berries.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out-2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out.jpg,Morella-cerifera_berries.jpeg|Morella-cerifera_zoomed-out-2.jpg|Morella-cerifera_zoomed-out.jpg,/nas/content/live/hgnp/wp-content/uploads/2025/06/Morella-cerifera_berries.jpeg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out-2.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out.jpg,12513|12514|12515,Morella-cerifera_berries.jpeg|Morella-cerifera_zoomed-out-2.jpg|Morella-cerifera_zoomed-out.jpg,||,||,||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_berries.jpeg,,,,,,,,,"United States",Perennial,"15.4 - Everglades","10–15 ft|15–20 ft","Full Sun|Partial Sun",Shrub|Tree,,Average|High,"Myrica ceifera","United States",,"10–15 ft|15–20 ft",10,15,8,10,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_berries.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out-2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Morella-cerifera_zoomed-out.jpg
10581,"Blackjack Oak","This rugged tree has dark, deeply furrowed bark and leathery leaves. It thrives in various soil types and is drought resistant.",,"2025-06-09 10:33:23",plant,https://homegrownnationalpark.org/plant/blackjack-oak/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_fall-colors-1.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out-2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica-1.png,Quercus-marilandica_fall-colors-1.jpg|Quercus-marilandica_zoomed-out-2.jpg|Quercus-marilandica_zoomed-out.jpg|Quercus-marilandica.png|Quercus-marilandica-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-marilandica_fall-colors-1.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out-2.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-marilandica.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-marilandica-1.png,12516|12517|12518|12519|12520,Quercus-marilandica_fall-colors-1.jpg|Quercus-marilandica_zoomed-out-2.jpg|Quercus-marilandica_zoomed-out.jpg|Quercus-marilandica.png|Quercus-marilandica-1.png,||||,||||,||||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_fall-colors-1.jpg,,,,,,,,,"United States",Perennial,"8.3 - SE USA Plains|8.4 - Ozark/Ouachita-Appalachian Forests|8.5 - Mississippi Alluvial &amp; SE USA Coastal Plains","30–50 ft|50+ ft","Partial Sun",Tree,,Low,"Quercus marilandica","United States",,"30–50 ft|50+ ft",30,60,20,40,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_fall-colors-1.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out-2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica_zoomed-out.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-marilandica-1.png
10592,"Dwarf Chinkapin Oak","This oak known for its small size thrives in poor, dry soils and shade. It is an excellent choice to support wildlife with limited space.",,"2025-06-09 10:33:23",plant,https://homegrownnationalpark.org/plant/dwarf-chinkapin-oak/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-prinoides.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-prinoides-1.png,Quercus-prinoides.png|Quercus-prinoides-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-prinoides.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-prinoides-1.png,12521|12522,Quercus-prinoides.png|Quercus-prinoides-1.png,|,|,|,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-prinoides.png,,,,,,,,,"United States",Perennial,"5.3 - Atlantic Highlands|8.1 - Mixed Wood Plains (USA)|8.2 - Central USA Plains|8.4 - Ozark/Ouachita-Appalachian Forests","10–15 ft|15–20 ft|20–30 ft","Partial Sun|Shade",Shrub|Tree,,Low,"Quercus prinoides","United States",,"10–15 ft|15–20 ft|20–30 ft",13,20,10,15,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-prinoides.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-prinoides-1.png
10594,"Texas Live Oak","This picturesque tree has a short trunk supporting spreading, gnarled branches and semi-evergreen leaves. It is valued for its drought resistance and robust appearance, but must be protected from oak wilt and live oak decline when stressed by drought.",,"2025-06-09 10:33:01",plant,https://homegrownnationalpark.org/plant/texas-live-oak/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-zoomed-out-RET.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-acorns.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-1.png,Quercus-fusiformis-zoomed-out-RET.jpg|Quercus-fusiformis-acorns.jpg|Quercus-fusiformis.png|Quercus-fusiformis-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-fusiformis-zoomed-out-RET.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-fusiformis-acorns.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-fusiformis.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Quercus-fusiformis-1.png,12523|12524|12525|12526,Quercus-fusiformis-zoomed-out-RET.jpg|Quercus-fusiformis-acorns.jpg|Quercus-fusiformis.png|Quercus-fusiformis-1.png,|||,|||,|||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-zoomed-out-RET.jpg,,,,,,,,,"United States",Perennial,"9.6 - Tamaulipas-Texas Semi-Arid Plains","20–30 ft|30–50 ft","Full Sun|Partial Sun",Tree,,Low,"Quercus fusiformis","United States",,"20–30 ft|30–50 ft",20,40,20,40,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-zoomed-out-RET.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-acorns.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Quercus-fusiformis-1.png
10596,"Hardy Pecan","This tree produces sweet and buttery pecan nuts, has golden-yellow foliage in the fall, and is adaptable to various soil types. This tree can be grown from seed, but will take 8-10 years to produce nuts.",,"2025-06-09 10:32:36",plant,https://homegrownnationalpark.org/plant/hardy-pecan/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-zoomed-out-RET.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-nut.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-1.png,Carya-illinoinensis-zoomed-out-RET.jpeg|Carya-illinoinensis-nut.jpeg|Carya-illinoinensis.png|Carya-illinoinensis-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Carya-illinoinensis-zoomed-out-RET.jpeg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Carya-illinoinensis-nut.jpeg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Carya-illinoinensis.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Carya-illinoinensis-1.png,12527|12528|12529|12530,Carya-illinoinensis-zoomed-out-RET.jpeg|Carya-illinoinensis-nut.jpeg|Carya-illinoinensis.png|Carya-illinoinensis-1.png,|||,|||,|||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-zoomed-out-RET.jpeg,,,,,,,,,"United States",Perennial,"9.5 - Texas-Lousiana Coastal Plains|9.6 - Tamaulipas-Texas Semi-Arid Plains","50+ ft","Full Sun",Tree,,Average,"Carya illinoinensis","United States",,"50+ ft",70,100,40,70,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-zoomed-out-RET.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-nut.jpeg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Carya-illinoinensis-1.png
10598,"American Plum","This tree is a great choice for shrub borders, hedges, screens, or erosion control, and has toothed leves, five petaled white flowers in spring, and edible red plums.",,"2025-06-09 10:33:01",plant,https://homegrownnationalpark.org/plant/american-plum/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-americana.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-americana-1.png,Prunus-americana.png|Prunus-americana-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-americana.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-americana-1.png,12531|12532,Prunus-americana.png|Prunus-americana-1.png,|,|,|,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-americana.png,,,,,,,,,"Canada|United States",Perennial,"8.1 - Mixed Wood Plains (USA)|8.1 - Mixed Wood Plains (Canada)|8.2 - Central USA Plains|9.2 - Temperate Prairies|9.3 - West-Central Semi-Arid Prairies","15–20 ft|20–30 ft","Full Sun|Partial Sun",Shrub|Tree,,Average|Low,"Prunus americana","United States|Canada",,"15–20 ft|20–30 ft",15,25,15,25,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-americana.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-americana-1.png
10600,"Black Cherry","This plant has glossy green leaves with pointed tips,is tolerant of dry soil, has fragrant white flowers in the spring, and produces berries that can be used in jams and jellies. ***Toxic to dogs, cats, and horses***",,"2025-06-09 10:32:36",plant,https://homegrownnationalpark.org/plant/black-cherry/,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_ZoomedOut-RET.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_Flower.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_Fruit2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina-1.png,Prunus-serotina_ZoomedOut-RET.jpg|Prunus-serotina_Flower.jpg|Prunus-serotina_Fruit2.jpg|Prunus-serotina.png|Prunus-serotina-1.png,/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-serotina_ZoomedOut-RET.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-serotina_Flower.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-serotina_Fruit2.jpg|/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-serotina.png|/nas/content/live/hgnp/wp-content/uploads/2025/06/Prunus-serotina-1.png,12533|12534|12535|12536|12537,Prunus-serotina_ZoomedOut-RET.jpg|Prunus-serotina_Flower.jpg|Prunus-serotina_Fruit2.jpg|Prunus-serotina.png|Prunus-serotina-1.png,||||,||||,||||,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_ZoomedOut-RET.jpg,,,,,,,,,"United States|Canada",Perennial,"5.2 - Mixed Wood Shield|5.3 - Atlantic Highlands|8.1 - Mixed Wood Plains (USA)|8.1 - Mixed Wood Plains (Canada)|8.2 - Central USA Plains|8.3 - SE USA Plains|8.4 - Ozark/Ouachita-Appalachian Forests|8.5 - Mississippi Alluvial &amp; SE USA Coastal Plains|12.1 - Western Sierra Madre Piedmont|13.1 - Upper Gila Mountains","50+ ft","Full Sun|Partial Sun",Tree,,Average,"Prunus serotina","Canada|United States",,"50+ ft",50,80,30,60,http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_ZoomedOut-RET.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_Flower.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina_Fruit2.jpg|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina.png|http://homegrownnationalpark.org/wp-content/uploads/2025/06/Prunus-serotina-1.png
