Id,DateCreated,DateModified,MerchantId,MerchantAvatar,MerchantCampaignName,Name,Description,TargetUrl,StartDate,EndDate
119302,2023-11-29 13:04:15.357,2023-11-29 13:04:15.357,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,Free Delivery over $50,,https://t.cfjump.com/90610/o/119302,2023-11-29 00:00:00.000,
119303,2023-11-29 13:04:45.217,2024-05-23 19:57:04.527,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,Sign up to our email list and get 15% off your first order,,https://t.cfjump.com/90610/o/119303,2023-11-29 00:00:00.000,
125496,2024-05-23 19:57:22.510,2024-05-23 19:57:22.510,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,✔️ NO CONTRACTS   ✔️ NO MINIMUM ORDERS,,https://t.cfjump.com/90610/o/125496,2024-05-23 00:00:00.000,
126234,2024-06-14 15:43:57.103,2026-01-23 15:12:19.610,89821,https://c.cfjump.com/Avatars/a6a7f3c4-3130-4d3e-ac91-c39db229b9d9.png,Above The Collar,FREE Shipping over $60,,https://t.cfjump.com/90610/o/126234,2024-06-14 00:00:00.000,
126274,2024-06-18 09:07:46.387,2026-03-03 09:46:31.230,89821,https://c.cfjump.com/Avatars/a6a7f3c4-3130-4d3e-ac91-c39db229b9d9.png,Above The Collar,"Receive $10 off your first order when you sign up for exclusive offers, promos and freebies.",,https://t.cfjump.com/90610/o/126274,2024-06-18 00:00:00.000,
53309,2019-03-18 13:27:15.217,2021-06-01 12:04:48.657,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Free economy delivery over $100 AUD,,https://t.cfjump.com/90610/o/53309,2019-03-18 00:00:00.000,
126184,2024-06-13 11:39:23.733,2024-06-13 11:39:23.733,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Reduced to Clear,,https://t.cfjump.com/90610/o/126184,2024-06-13 00:00:00.000,
138775,2025-05-15 07:13:29.580,2025-05-15 07:13:29.580,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,"HUGE Savings on 40,000+ Pleasure and Wellness Products",,https://t.cfjump.com/90610/o/138775,2025-05-15 00:00:00.000,
139911,2025-06-30 13:40:51.063,2025-06-30 13:40:51.063,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,😍FREE Toy With Essentials Bundle Purchase,,https://t.cfjump.com/90610/o/139911,2025-06-30 00:00:00.000,
140200,2025-07-10 06:53:32.047,2025-07-10 06:53:32.047,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Satisfyer Pro 2 with Essentials Bundle,,https://t.cfjump.com/90610/o/140200,2025-07-10 00:00:00.000,
140201,2025-07-10 06:54:49.797,2025-07-10 06:54:49.797,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Kama Dual Stim Toy with Essentials Bundle,,https://t.cfjump.com/90610/o/140201,2025-07-10 00:00:00.000,
140202,2025-07-10 06:55:26.470,2025-07-10 06:55:26.470,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Vibrating Cock Ring with Essentials Bundle,,https://t.cfjump.com/90610/o/140202,2025-07-10 00:00:00.000,
144475,2025-11-11 07:43:09.847,2025-11-11 07:43:09.847,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,ORDER NOW: The Ultimate Adult Advent Calendar 🎄🥵,,https://t.cfjump.com/90610/o/144475,2025-11-11 00:00:00.000,
145886,2025-12-24 06:42:29.030,2025-12-24 06:42:29.043,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,"2026 New Years Sale: Big Brands, BIGGER Discounts🎉",,https://t.cfjump.com/90610/o/145886,2026-01-01 00:00:00.000,
147077,2026-02-27 07:00:15.897,2026-02-27 07:00:15.897,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,📢5 MILLION DOLLAR Stocktake Sale - Up to 90% Off,,https://t.cfjump.com/90610/o/147077,2026-02-27 00:00:00.000,2026-03-16 23:59:59.000
115040,2023-09-20 16:14:47.183,2023-10-10 16:32:52.873,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,"Buy overs $500,Get FREE Laptop Stand",,https://t.cfjump.com/90610/o/115040,2023-09-20 00:00:00.000,
115041,2023-09-20 16:15:38.217,2023-10-10 16:32:56.547,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $300 Save $15OFF,,https://t.cfjump.com/90610/o/115041,2023-09-20 00:00:00.000,
115042,2023-09-20 16:17:15.000,2023-10-10 16:33:01.950,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $200 Save $10 OFF,,https://t.cfjump.com/90610/o/115042,2023-09-20 00:00:00.000,
115043,2023-09-20 16:17:39.157,2023-10-10 16:32:47.247,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Extra 5% off,,https://t.cfjump.com/90610/o/115043,2023-09-20 00:00:00.000,
115734,2023-10-10 16:33:45.873,2023-10-10 16:33:45.873,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $500 Save $30 OFF,,https://t.cfjump.com/90610/o/115734,2023-10-10 00:00:00.000,
142059,2025-09-04 20:23:03.910,2025-09-04 20:23:03.910,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Specialist Travel Insurance for all,,https://t.cfjump.com/90610/o/142059,2025-09-04 00:00:00.000,
142060,2025-09-04 20:23:28.613,2025-09-04 20:23:28.613,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Emergency Assistance 24/7,,https://t.cfjump.com/90610/o/142060,2025-09-04 00:00:00.000,
143508,2025-10-22 09:51:18.120,2025-10-22 09:51:18.120,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Multi-Award Winning Travel Insurance,,https://t.cfjump.com/90610/o/143508,2025-10-22 00:00:00.000,
143510,2025-10-22 09:52:50.353,2025-10-22 09:52:50.353,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Winner: 2025 Mozo Experts Choice Exceptional Value Cruise Travel Insurance,,https://t.cfjump.com/90610/o/143510,2025-10-22 00:00:00.000,
143511,2025-10-22 09:53:10.417,2025-10-22 09:53:10.433,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Winner: 2025 WeMoney Awards Best for Seniors Travel Insurance,,https://t.cfjump.com/90610/o/143511,2025-10-22 00:00:00.000,
143512,2025-10-22 09:53:22.557,2025-10-22 09:53:22.557,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Winner: WeMoney Awards 2025 Best for Specialist Cover,,https://t.cfjump.com/90610/o/143512,2025-10-22 00:00:00.000,
143513,2025-10-22 09:53:57.463,2025-10-22 09:53:57.463,92570,https://c.cfjump.com/Avatars/04f461dc-b42f-4824-8e98-9d3c81053780.png,AllClear Travel Insurance,Get comprehensive travel cover with no upper age limits and go on your next trip with peace of mind,,https://t.cfjump.com/90610/o/143513,2025-10-22 00:00:00.000,
109746,2023-05-09 15:53:35.863,2023-05-09 15:53:35.863,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Shop our bundles and mix packs today! ,,https://t.cfjump.com/90610/o/109746,2023-05-09 00:00:00.000,
115997,2023-10-18 09:06:11.017,2023-10-18 09:06:11.017,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,$10 off ALTINA ENTERTAINERS' BUNDLE,"No code needed
Valid until stock lasts",https://t.cfjump.com/90610/o/115997,2023-10-18 00:00:00.000,
117137,2023-11-09 13:48:09.060,2023-11-09 13:48:09.060,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Save $20 on THE ALTINA TASTER PACK,End date TBC,https://t.cfjump.com/90610/o/117137,2023-11-09 00:00:00.000,
117138,2023-11-09 13:50:20.077,2023-11-09 13:50:20.077,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Save $8 on ALTINA ROSÉ ALL DAY BUNDLE,End date TBC,https://t.cfjump.com/90610/o/117138,2023-11-09 00:00:00.000,
135212,2025-02-19 11:05:31.640,2025-02-19 11:05:31.640,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Free Shipping on orders over $140.  Flat rate $8 shipping for all other orders,T&Cs apply,https://t.cfjump.com/90610/o/135212,2025-02-19 00:00:00.000,
128825,2024-09-13 15:11:08.683,2024-09-13 15:11:08.683,84193,https://c.cfjump.com/Avatars/545957ea-deca-4a89-9af8-bf75d946e8ee.png,AMF Magnetics,Shop our Best Sellers ,,https://t.cfjump.com/90610/o/128825,2024-09-13 00:00:00.000,
128826,2024-09-13 15:11:32.217,2024-09-16 15:00:49.523,84193,https://c.cfjump.com/Avatars/545957ea-deca-4a89-9af8-bf75d946e8ee.png,AMF Magnetics,Free shipping Australia wide for all orders ,,https://t.cfjump.com/90610/o/128826,2024-09-13 00:00:00.000,
128827,2024-09-13 15:12:22.717,2024-09-13 15:12:22.717,84193,https://c.cfjump.com/Avatars/545957ea-deca-4a89-9af8-bf75d946e8ee.png,AMF Magnetics,Join us for 10% OFF your first order!,,https://t.cfjump.com/90610/o/128827,2024-09-13 00:00:00.000,
104958,2022-12-01 10:09:57.303,2022-12-01 10:10:39.413,71708,https://c.cfjump.com/Avatars/a54049ec-300d-4e6a-8502-0fa6fbd58a12.png,Ark Swimwear,Model search ,,https://t.cfjump.com/90610/o/104958,2022-12-01 00:00:00.000,
99231,2022-07-26 15:12:35.760,2025-08-12 08:10:26.333,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Free Shipping on orders over $79.00* (Australian customers only),,https://t.cfjump.com/90610/o/99231,2022-07-26 00:00:00.000,
122995,2024-03-14 05:08:28.773,2025-08-12 08:11:01.023,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Sign up to Arms Of Eve Tribe and get 10% off,Sign up to Arms Of Eve Tribe and get 10% off,https://t.cfjump.com/90610/o/122995,2024-03-14 00:00:00.000,
141964,2025-09-02 20:36:36.837,2025-09-02 20:36:36.837,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Discover sale styles at Arms Of Eve,,https://t.cfjump.com/90610/o/141964,2025-09-02 00:00:00.000,
84821,2021-08-26 13:13:42.520,2021-08-26 13:13:42.520,75358,https://c.cfjump.com/Avatars/7469c85c-2fae-44f2-9c64-9ecf30d1b95f.png,AROMABABY,Buy Now Pay Later with Afterpay,,https://t.cfjump.com/90610/o/84821,2021-08-26 00:00:00.000,
142275,2025-09-11 15:10:29.250,2025-09-11 15:10:29.250,92604,https://c.cfjump.com/Avatars/9f046522-02e6-40ac-b7ad-fc2b0d919b57.png,Ashaya,3-Step PMS Relief Ritual,,https://t.cfjump.com/90610/o/142275,2025-09-11 00:00:00.000,
142276,2025-09-11 15:10:52.377,2025-10-07 14:40:15.513,92604,https://c.cfjump.com/Avatars/9f046522-02e6-40ac-b7ad-fc2b0d919b57.png,Ashaya, Join Our Community & Get 15% OFF,,https://t.cfjump.com/90610/o/142276,2025-09-11 00:00:00.000,
142277,2025-09-11 15:11:52.783,2025-09-11 15:11:52.783,92604,https://c.cfjump.com/Avatars/9f046522-02e6-40ac-b7ad-fc2b0d919b57.png,Ashaya,Shop Our Best Sellers,,https://t.cfjump.com/90610/o/142277,2025-09-11 00:00:00.000,
142278,2025-09-11 15:13:49.657,2025-09-11 15:13:49.657,92604,https://c.cfjump.com/Avatars/9f046522-02e6-40ac-b7ad-fc2b0d919b57.png,Ashaya,"Vegan, Cruelty-Free, and Consciously Created",,https://t.cfjump.com/90610/o/142278,2025-09-11 00:00:00.000,
142279,2025-09-11 15:14:13.783,2025-09-11 15:14:13.783,92604,https://c.cfjump.com/Avatars/9f046522-02e6-40ac-b7ad-fc2b0d919b57.png,Ashaya,Crafted in Australia with Global Ingredients,,https://t.cfjump.com/90610/o/142279,2025-09-11 00:00:00.000,
43474,2018-07-03 15:32:05.757,2022-07-01 12:39:05.853,57654,https://c.cfjump.com/Avatars/16ccc019-c98e-4697-98dd-6bce0e950b64.png,AURA Home,Free Shipping for all orders over $200 within Australia,,https://t.cfjump.com/90610/o/43474,2018-07-03 00:00:00.000,
