Common Name,Scientific Name,Plant Type,Light Requirements,Water Needs,Height Min (ft),Height Max (ft),Height Range Group(s),Spread Min (ft),Spread Max (ft),Standardized Ecoregions,Description,Countries,Season of Interest,Duration
Southern Live Oak,Quercus virginiana,Tree,Full Sun,"Low, Average",40,80,"30–50 ft, 50+ ft",60,100,"8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.5 - Texas-Lousiana Coastal Plains, 15.4 - Everglades","This evergreen oak has a sprawling canopy with horizontally spreading branches covered in dense, dark green leaves. They are resilient and long lived, tolerating salt spray, drought, and strong winds.",United States,,Perennial
Wild Coffee,Psychotria nervosa,Shrub,"Partial Sun, Shade","Low, Average",2,10,"2–3 ft, 3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft, 10–15 ft",3,5,15.4 - Everglades,"This versatile evergreen shrub has glossy, dark green leaves and small, fragrant white flowers. It is well suited to shade, and produces seeds similar appearance to coffee beans.",United States,,Perennial
Hardy Pecan,Carya illinoinensis,Tree,Full Sun,Average ,70,100,50+ ft,40,70,"9.5 - Texas-Lousiana Coastal Plains, 9.6 - Tamaulipas-Texas Semi-Arid Plains","This tree produces sweet and buttery pecan nuts, has golden-yellow foliage in the fall, and is adaptable to various soil types. This tree can be grown from seed, but will take 8-10 years to produce nuts.",United States,,Perennial
White Oak,Quercus alba,Tree,Full Sun,"Low, Average",50,80,50+ ft,50,80,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This majestic tree is prized for its broad canopy and can live for over 500 years. In autumn, this species produces acorns and turns reddish-brown to burgandy in color. ***Toxic to horses***","United States, Canada",,Perennial
Black Oak,Quercus velutina,Tree,Full Sun,"Low, Average",50,60,50+ ft,50,60,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.2 - Temperate Prairies, 9.4 - South Central Semi-Arid Prairies",This great shade tree shows bright yellow and orange colors during the fall season. Acorns provide a good food source for small mammals and birds. ***Toxic to horses***,"United States, Canada",,Perennial
Black Cherry,Prunus serotina,Tree,"Full Sun, Partial Sun",Average,50,80,50+ ft,30,60,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This plant has glossy green leaves with pointed tips,is tolerant of dry soil, has fragrant white flowers in the spring, and produces berries that can be used in jams and jellies. ***Toxic to dogs, cats, and horses***","United States, Canada",,Perennial
Eastern Cottonwood,Populus deltoides,Tree,Full Sun,Average,50,80,50+ ft,35,60,"8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 9.4 - South Central Semi-Arid Prairies, 10.2 - Warm Deserts, 11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This tree has green deltoid leaves up to 5 inches long that turn yellow in the fall. Before leaves emerge, small male and female flowers appear on separate trees in the mid-spring. ",United States,,Perennial
Black Willow,Salix nigra,"Tree, Shrub","Full Sun, Partial Sun","Average, High",30,60,"30–50 ft, 50+ ft",30,60,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, Ozark, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.5 - Texas-Lousiana Coastal Plains, 9.6 - Tamaulipas-Texas Semi-Arid Plains","This versatile and fast-growing tree thrives in moist environments, adding visual interest to the landscape with its elegant leaves and grayish-brown bark. It is a great choice for gardens seeking both aesthetic appeal and tolerance to wet conditions.","United States, Canada",,Perennial
American or Quaking Aspen,Populus tremuloides,Tree,Full Sun,Average ,20,50,"20–30 ft, 30–50 ft, 50+ ft",10,30,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Lower 48), 7.1 - Marine West Coast Forests (Canada), 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 9.3 - West-Central Semi-Arid Prairies, 10.1 - Cold Deserts, 10.2 - Warm Deserts, 11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This fast-growing deciduous tree has shimmering leaves that tremble in the breeze. Its smooth white bark, vibrant green foliage, and brilliant golden-yellow fall color make it a visually appealing and low-maintenance choice.","United States, Canada",,Perennial
Lowbush Blueberry,Vaccinium angustifolium,Shrub,"Full Sun, Partial Sun",Average,1,2,"1–2 ft, 2–3 ft",1,2,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (Canada), 8.1 - Mixed Wood Plains (USA)","Small, white, bell-shaped flowers appear on this species in the spring and are followed by edible blueberries in the summer. The red-green foliage turns blue-green in the summer and bronze in the fall.","United States, Canada",,Perennial
Pussy Willow,Salix discolor,"Tree, Shrub",Full Sun,"Average, High",6,15,"5–7 ft, 7–10 ft, 10–15 ft, 15–20 ft",4,12,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (Canada), 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains","This charming shrub is known for its fuzzy silver-gray catkins that emerge in early spring, adding unique visual interest. With its whimsical appearance, it is a popular choice for adding texture and early-season beauty.","United States, Canada",,Perennial
Bur Oak,Quercus macrocarpa,Tree,Full Sun,Average,60,80,50+ ft,60,80,"5.2 - Mixed Wood Shield, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 9.2 - Temperate Prairies,","This majestic and long-lived tree is known for its large acorns, deeply-loped leaves, and stunning golden-yellow fall color. With its impressive size, drought tolerance, and beautiful foliage, it is a resilient and visually striking addition to any garden. ***Toxic to horses***","United States, Canada",,Perennial
Post Oak,Quercus stellata,Tree,Full Sun,"Low, Average",35,50,"30–50 ft, 50+ ft",35,50,"8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This drought-tolerant tree is known for its distinctive star-shaped leaves and small acorns, attracting wildlife. With its rustic charm and adaptability to different soil conditions, it is a desirable choice for those seeking a hardy and visually appealing tree. ",United States,,Perennial
Smooth Alder,Alnus serrulata,"Tree, Shrub","Full Sun, Partial Sun","Average, High",10,20,"10–15 ft, 15–20 ft, 20–30 ft",8,15,"5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains","This versatile shrub or small tree thrives in moist environments and supports 255 species of butterflies and moths. It offers benefits such as nitrogen fixation, erosion control, and attractive foliage with glossy green leaves and winter catkins.",United States,,Perennial
Shagbark Hickory,Carya ovata,Tree,"Full Sun, Partial Sun","Low, Average",70,80,50+ ft,50,70,"5.3 Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This tree is known for its distinctive shaggy bark, delicious edible nuts, and impressive fall colors. Its foliage transforms into vibrant shades of golden yellow and warm orange during autumn, adding a stunning display of color to the garden.","United States, Canada",,Perennial
Red Oak,Quercus rubra,Tree,"Full Sun, Partial Sun","Low, Average",50,70,50+ ft,50,70,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 9.2 - Temperate Prairies","With its broad, lobed leaves that turn a brilliant red color in the fall, this tree creates a vibrant display of seasonal beauty. Highly attractive to a variety of species and boasting a remarkable lifespan of up to 500 years, this majestic tree not only provides ample shade, but also exhibits remarkable adaptablility to variou soil conditions. ***Toxic to horses and cattle***",United States,,Perennial
Ponderosa Pine,Pinus ponderosa,Tree,Full Sun,Average,60,100,50+ ft,25,30,"6.2 - Western Cordillera, 10.1 - Cold Deserts, 10.2 - Warm Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","The majestic and resilient tree is known for its tall, straight truchs and distinctive orange-brown bark that peels off in puzzle-like plates. It has long, needle-like leaves grouped in bundles of three and produces large, egg-shaped cones. It can live over 500 years.***Toxic to horses***",United States,,Perennial
Douglas Fir,Pseudotsuga menziesii,Tree,"Full Sun, Partial Sun",Average,40,80,"30–50 ft, 50+ ft",10,20,"6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Lower 48), 10.1 - Cold Deserts, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This versatile evergreen tree is highly valued for its beauty and is often used as a Christmas tree. It has dense, soft needles and gracefully drooping branches. The tree produces cylindrical cones that provide a food source for wildlife.",United States,,Perennial
White Fir,Abies concolor,Tree,"Full Sun, Partial Sun",Average,10,30,"10–15 ft, 15–20 ft, 20–30 ft, 30–50 ft",10,15,13.1 - Upper Gila Mountains,"This low maintenance and elegant evergreen tree is known for its soft, bluish-green needles and pleasant citrus scent. It produce attractive cones that transition from purple to light brown.",United States,,Perennial
Arroyo Willow,Salix lasiolepis,"Tree, Shrub","Full Sun, Partial Sun","Average, High",10,35,"10–15 ft, 15–20 ft, 20–30 ft, 30–50 ft",10,25,"10.2 - Warm Deserts, 11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains,","This versatile shrub or tree is known for its narrow, silvery leaves and clusters of small flowers. It thrives in wet soil conditions and is a valuable choice for areas near water bodies or in flood-prone areas.",United States,,Perennial
Red Alder,Alnus rubra,Tree,"Full Sun, Partial Sun, Shade","Average, High",40,50,"30–50 ft, 50+ ft",20,30,"7.1 - Marine West Coast Forests (Alaska), 7.1 - Marine West Coast Forests (Canada), 7.1 - Marine West Coast Forests (Lower 48) ","This tree features dark green leaves, brown catkins, and cone-like fruits.Supporting over 200 caterpillar species, with nitrogen-fixing nodules and erosion control benefits, it enriches soil and provides vital habitat wildlife.","United States, Canada",,Perennial
Coyote Willow,Salix exigua,"Tree, Shrub",Full Sun,"Average, High",15,20,"15–20 ft, 20–30 ft",15,20,"6.2 - Western Cordillera, 10.1 - Cold Deserts, 10.2 - Warm Deserts, 11.1 - Mediterranean California, 12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains","This plant thrives in diverse habitats, offering drought resistance, flood tolerance, and erosion prevention. With gray-green leaves and pale lemon catkins in spring, it adds visual interest and supports various wildlife species.",United States,,Perennial
Red Maple,Acer rubrum,Tree,"Full Sun, Partial Sun",Average,40,70,"30–50 ft, 50+ ft",30,50,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.3 - SE USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests, 8.5 - Mississippi Alluvial & SE USA Coastal Plains",This fast-growing tree produces tiny red flowers in early spring. It has dark green spring leaves that transition to yellow or red in autumn.,"United States, Canada",,Perennial
Paper Birch,Betula papyrifera,Tree,"Full Sun, Partial Sun",Average,50,70,50+ ft,25,50,"5.2 - Mixed Wood Shield, 7.1 - Marine West Coast Forests (Alaska)",This medium-sized deciduous tree has distinctive white peeling bark. Its bright green foliage in spring and golden-yellow leaves in fall add year-round visual appeal.,United States,,Perennial
Eastern White Pine,Pinus strobus,Tree,Full Sun,"Low, Average",50,80,50+ ft,20,40,"5.2 - Mixed Wood Shield, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), ","This tree features soft blue-green needles and large pinecones that provide added visual interest. As an evergreen, it offers year-round beauty.","United States, Canada",,Perennial
Sugar Maple,Acer saccharum,Tree,"Full Sun, Partial Sun",Average,40,80,"30–50 ft, 50+ ft",30,60,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This tree showcases outstanding fall colors with vibrant shades fo orange, red, and yellow, making it an attractive addition to any garden. It also prduces small yellow flowers in spring and is used for maple syrup. ","United States, Canada",,Perennial
Chokecherry,Prunus virginiana,"Tree, Shrub","Full Sun, Partial Sun","Low, Average",20,30,"20–30 ft, 30–50 ft",15,20,"5.2 - Mixed Wood Shield, 5.3 - Atlantic Highlands, 6.2 - Western Cordillera, 8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies, 10.1 - Cold Deserts, Meditarian California, 13.1 - Upper Gila Mountains","This plant is tolerant to drought, and dry, rocky, or clay soil. It is a great choice for beds, borders, hedge, screens, and open woodland gardens. It produces white flowers and edible berries. ***Toxic to dogs, cats, and horses***","United States, Canada",,Perennial
Saltbush,Baccharis halimifolia,Shrub,Full Sun,"Average, High",3,10,"3–4 ft, 4–5 ft, 5–7 ft, 7–10 ft, 10–15 ft",3,10,"8.5 - Mississippi Alluvial & SE USA Coastal Plains, 15.4 - Everglades","This short lived shrub has oval, sharp-toothed, gray-green leaves 2 inches long. This species also has white flowers from late summer to fall and is typically pest and disease free.",United States,,Perennial
Slash Pine,Pinus elliottii,Tree,"Full Sun, Partial Sun",Average,70,100,50+ ft,30,50,15.4 - Everglades,This long lived tree has green needles from 6-12 inches and brown cones 2-6 inches long on mature specimens that are an important food source for birds and small mammals.,United States,,Perennial
Shore Pine,Pinus contorta,Tree,Full Sun,Low,20,35,"20–30 ft, 30–50 ft",20,35,"6.2 - Western Cordillera, 7.1 - Marine West Coast Forests (Lower 48), 9.3 - West-Central Semi-Arid Prairies","This hardy and versatile tree is known for its twisted branches and slender, cylindrical cones. It is well-suited for various environments and can withstand harsh conditions, making it resilient and adaptable.",United States,,Perennial
Yellow Rabbitbrush,Chrysothamnus viscidiflorus,Shrub,Full Sun,Low,1,3,"1–2 ft, 2–3 ft, 3–4 ft",1,3,"6.2 - Western Cordillera, 10.1 - Cold Deserts","This hardy and drought-tolerant shrub brings vibrant color to the garden. It showcases clusters of bright yellow flowers, attracting pollinators such as bees and butterflies. This plant is also used for erosion control, and is good forage for cattle, sheep, and horses.",United States,,Perennial
Bigleaf Maple,Acer macrophyllum,Tree,"Full Sun, Partial Sun",Average,40,70,"30–50 ft, 50+ ft",40,70,"7.1 - Marine West Coast Forests (Lower 48), 11.1 - Mediterranean California","This impressive tree is known for its exceptionally large leaves, providing ample summer shade. With stunning golden and orange hues in the fall, it adds a vibrant display of autumn colors.",United States,,Perennial
Garry Oak,Quercus garryana,Tree,"Full Sun, Partial Sun, Shade",Low,40,90,"30–50 ft, 50+ ft",30,80,7.1 - Marine West Coast Forests (Lower 48),"This adaptable tree has striking, deeply lobed leaves that turn vibrant yellow to red in the fall. This species can thrive in a variety of soil types and requires low water, making it a low maintenance choice.",United States,,Perennial
American Plum,Prunus americana,"Tree, Shrub","Full Sun, Partial Sun","Low, Average",15,25,"15–20 ft, 20–30 ft",15,25,"8.1 - Mixed Wood Plains (USA), 8.1 - Mixed Wood Plains (Canada), 8.2 - Central USA Plains, 9.2 - Temperate Prairies, 9.3 - West-Central Semi-Arid Prairies","This tree is a great choice for shrub borders, hedges, screens, or erosion control, and has toothed leves, five petaled white flowers in spring, and edible red plums.","United States, Canada",,Perennial
Bitternut Hickory,Carya cordiformis ,Tree,"Full Sun, Partial Sun",Average,50,80,50+ ft,30,50,"8.1 - Mixed Wood Plains (Canada), 8.1 - Mixed Wood Plains (USA), 8.2 - Central USA Plains, 8.4 - Ozark/Ouachita-Appalachian Forests","This tree, known for its heart-shaped nuts, offers an excellent choice for those seeking both aesthetic appeal and practical benefits. It showcases attractive yellowish-green foliage during the summer and transforms into a beautiful golden color in the fall.","United States, Canada",,Perennial
Texas Live Oak,Quercus fusiformis,Tree,"Full Sun, Partial Sun",Low,20,40,"20–30 ft, 30–50 ft",20,40,9.6 - Tamaulipas-Texas Semi-Arid Plains,"This picturesque tree has a short trunk supporting spreading, gnarled branches and semi-evergreen leaves. It is valued for its drought resistance and robust appearance, but must be protected from oak wilt and live oak decline when stressed by drought.",United States,,Perennial
Carolina Cherry Laurel,Prunus caroliniana,"Tree, Shrub","Full Sun, Partial Sun",Average,20,30,"20–30 ft, 30–50 ft",15,25,"8.5 - Mississippi Alluvial & SE USA Coastal Plains, 9.5 - Texas-Lousiana Coastal Plains, 15.4 - Everglades","This versatile evergreen tree has glossy leaves that emit an almond scent when bruised. Fragrant white flowers in early spring attract polliators, followed by small red cherries ripening to black, providing a valuable food source for birds.",United States,,Perennial
Limber Pine,Pinus flexilis,Tree,Full Sun,Average,40,60,"30–50 ft, 50+ ft",25,40,"12.1 - Western Sierra Madre Piedmont, 13.1 - Upper Gila Mountains",This sturdy and adaptable tree features blue-green needles up to 3 inches long and produces 8-inch green egg-shaped cones that turn yellow-brown at maturity. This species is deer tolerant.,United States,,Perennial
