Id,DateCreated,DateModified,MerchantId,MerchantAvatar,MerchantCampaignName,Name,Description,TargetUrl,Code,StartDate,EndDate
286234,2023-12-05 19:38:04.667,2023-12-05 19:38:22.887,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,FREE SHIPPING,free shipping over $50 within Australia,https://t.cfjump.com/90610/c/286234,CFFREESHIPPING,2023-12-05 00:00:00.000,
286235,2023-12-05 19:41:46.747,2023-12-05 19:41:46.747,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,3 DAY KETO MEAL,"$78 Deal, 6 Keto Meals for Only $78/per Week PLUS FREE SHIPPING",https://t.cfjump.com/90610/c/286235,CF3DAYKETOMEAL,2023-12-05 00:00:00.000,
286236,2023-12-05 19:42:34.980,2023-12-05 19:42:34.980,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,5 DAY KETO MEAL PLAN,"$130 Deal, 10 Keto Meals for Only $130/per Week PLUS FREE SHIPPING",https://t.cfjump.com/90610/c/286236,CF5DAYKETOMEAL,2023-12-05 00:00:00.000,
286237,2023-12-05 19:43:35.340,2023-12-05 19:43:35.340,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,7 DAY KETO MEAL PLAN,"$182 Deal, 14 Keto Meals for Only $182/per Week PLUS FREE SHIPPING",https://t.cfjump.com/90610/c/286237,CF7DAYKETOMEAL,2023-12-05 00:00:00.000,
286238,2023-12-05 19:44:19.420,2023-12-05 19:44:19.420,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,900 CALORIE MEAL PLAN,"10% OFF + FREE SHIPPING, Get 10% OFF in our 28 Days 900 Calories Meal Plan includes 56 Effective Weight Loss Meals plus 12 Snacks",https://t.cfjump.com/90610/c/286238,CF900CAL10OFF,2023-12-05 00:00:00.000,
286239,2023-12-05 19:45:14.013,2023-12-05 19:45:14.013,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,1200 IF Meal Plan,"$97 OFF + FREE SHIPPING, 28 Days 1200 Calories Fit Weight Loss Meals includes 56 meals plus 30 Snacks",https://t.cfjump.com/90610/c/286239,CFCIF1200OFF,2023-12-05 00:00:00.000,
288174,2024-06-24 13:26:51.113,2025-01-14 08:32:50.867,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,10% off Sitewide,,https://t.cfjump.com/90610/c/288174,CFSAVE10AU,2024-06-24 00:00:00.000,2025-12-31 23:59:59.000
292755,2025-02-20 12:36:06.347,2025-02-20 12:36:06.347,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Xhale Exclusive Coupon,"10% off sitewide, excluding gift cards and reduced to clear items.",https://t.cfjump.com/90610/c/292755,XHALE10,2025-02-20 00:00:00.000,2028-02-20 23:59:59.000
279030,2023-09-18 18:58:22.310,2023-09-18 18:58:22.310,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,$10 OFF FIRST ORDER,"Minimum spend $100 
Not to be used with any other offer",https://t.cfjump.com/90610/c/279030,WELCOME10,2023-09-18 00:00:00.000,
279707,2023-10-10 16:36:36.463,2023-10-10 16:41:23.123,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $500 Save $30 OFF,"Minimum spend $500
Not to be used with any other offer",https://t.cfjump.com/90610/c/279707,CF30,2023-10-10 00:00:00.000,
