Id,DateCreated,DateModified,MerchantId,MerchantAvatar,MerchantCampaignName,Name,Description,TargetUrl,StartDate,EndDate
119302,2023-11-29 13:04:15.357,2023-11-29 13:04:15.357,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,Free Delivery over $50,,https://t.cfjump.com/90610/o/119302,2023-11-29 00:00:00.000,
119303,2023-11-29 13:04:45.217,2024-05-23 19:57:04.527,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,Sign up to our email list and get 15% off your first order,,https://t.cfjump.com/90610/o/119303,2023-11-29 00:00:00.000,
125496,2024-05-23 19:57:22.510,2024-05-23 19:57:22.510,88314,https://c.cfjump.com/Avatars/95fbec9f-d9c9-48ec-b18c-bd0b2e85f3a6.png,A Life Plus,✔️ NO CONTRACTS   ✔️ NO MINIMUM ORDERS,,https://t.cfjump.com/90610/o/125496,2024-05-23 00:00:00.000,
126234,2024-06-14 15:43:57.103,2024-06-14 15:43:57.103,89821,https://c.cfjump.com/Avatars/a6a7f3c4-3130-4d3e-ac91-c39db229b9d9.png,Above The Collar,FREE Shipping over $60,,https://t.cfjump.com/90610/o/126234,2024-06-14 00:00:00.000,
126274,2024-06-18 09:07:46.387,2024-06-18 09:07:46.387,89821,https://c.cfjump.com/Avatars/a6a7f3c4-3130-4d3e-ac91-c39db229b9d9.png,Above The Collar,"Receive $10 off your first order when you sign up for exclusive offers, promos. and freebies.",,https://t.cfjump.com/90610/o/126274,2024-06-18 00:00:00.000,
141192,2025-08-13 08:46:31.727,2025-08-13 08:46:31.727,89821,https://c.cfjump.com/Avatars/a6a7f3c4-3130-4d3e-ac91-c39db229b9d9.png,Above The Collar,Fathers Day Sale! Up To 70% Off Father’s Day Sale + Free 8 Piece Fathers Day Freebie With Any Order Over $199,,https://t.cfjump.com/90610/o/141192,2025-08-20 00:00:00.000,2025-09-02 23:59:59.000
53309,2019-03-18 13:27:15.217,2021-06-01 12:04:48.657,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Free economy delivery over $100 AUD,,https://t.cfjump.com/90610/o/53309,2019-03-18 00:00:00.000,
126184,2024-06-13 11:39:23.733,2024-06-13 11:39:23.733,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Reduced to Clear,,https://t.cfjump.com/90610/o/126184,2024-06-13 00:00:00.000,
138775,2025-05-15 07:13:29.580,2025-05-15 07:13:29.580,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,"HUGE Savings on 40,000+ Pleasure and Wellness Products",,https://t.cfjump.com/90610/o/138775,2025-05-15 00:00:00.000,
140200,2025-07-10 06:53:32.047,2025-07-10 06:53:32.047,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Satisfyer Pro 2 with Essentials Bundle,,https://t.cfjump.com/90610/o/140200,2025-07-10 00:00:00.000,
140201,2025-07-10 06:54:49.797,2025-07-10 06:54:49.797,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Kama Dual Stim Toy with Essentials Bundle,,https://t.cfjump.com/90610/o/140201,2025-07-10 00:00:00.000,
140202,2025-07-10 06:55:26.470,2025-07-10 06:55:26.470,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Vibrating Cock Ring with Essentials Bundle,,https://t.cfjump.com/90610/o/140202,2025-07-10 00:00:00.000,
140351,2025-07-15 14:17:06.567,2025-07-18 13:38:36.897,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,FREE Bullet Vibrator - No Minimum Spend! 🤩,"Click ""claim now"" on Adulttoymegastore's homepage bullet vibrator banner to get your FREE bullet vibrator added to cart. One bullet vibrator per customer. Not valid with coupon usage. Must pay shipping. ",https://t.cfjump.com/90610/o/140351,2025-07-15 00:00:00.000,
140436,2025-07-18 13:40:37.003,2025-07-18 13:40:37.003,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,🛒Shop + Find Freebies 🥳,"Free items available to find on site. Find one and ""claim"" or ""add to cart"" to secure. Must pay shipping. One free item per order. ",https://t.cfjump.com/90610/o/140436,2025-07-18 00:00:00.000,
135044,2025-02-13 14:24:38.127,2025-02-13 14:24:38.127,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,NEW Erotica Category LIVE,Products eligible for additional discounts.,https://t.cfjump.com/90610/o/135044,2025-02-13 00:00:00.000,
139911,2025-06-30 13:40:51.063,2025-06-30 13:40:51.063,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,😍FREE Toy With Essentials Bundle Purchase,,https://t.cfjump.com/90610/o/139911,2025-06-30 00:00:00.000,
140863,2025-08-07 13:59:16.850,2025-08-07 13:59:16.850,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,Claim a FREE SP2 with $100 Spend 😏,Must spend $100 excluding shipping to claim. Orders with a free SP2 or other free claimed product are not eligible for additional discounts or discount codes.,https://t.cfjump.com/90610/o/140863,2025-08-07 00:00:00.000,
141509,2025-08-21 07:34:01.573,2025-08-21 07:34:01.573,62977,https://c.cfjump.com/Avatars/408e07c3-b8c4-4e63-982a-5e6f39dfea4d.png,Adulttoymegastore,🍑 Booty Sale - Up to 75% OFF,,https://t.cfjump.com/90610/o/141509,2025-08-21 00:00:00.000,2025-08-31 23:59:59.000
115040,2023-09-20 16:14:47.183,2023-10-10 16:32:52.873,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,"Buy overs $500,Get FREE Laptop Stand",,https://t.cfjump.com/90610/o/115040,2023-09-20 00:00:00.000,
115041,2023-09-20 16:15:38.217,2023-10-10 16:32:56.547,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $300 Save $15OFF,,https://t.cfjump.com/90610/o/115041,2023-09-20 00:00:00.000,
115042,2023-09-20 16:17:15.000,2023-10-10 16:33:01.950,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $200 Save $10 OFF,,https://t.cfjump.com/90610/o/115042,2023-09-20 00:00:00.000,
115043,2023-09-20 16:17:39.157,2023-10-10 16:32:47.247,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Extra 5% off,,https://t.cfjump.com/90610/o/115043,2023-09-20 00:00:00.000,
115734,2023-10-10 16:33:45.873,2023-10-10 16:33:45.873,87838,https://c.cfjump.com/Avatars/a7267e51-7474-479d-8823-8c9286f9006b.png,Advwin,Buy $500 Save $30 OFF,,https://t.cfjump.com/90610/o/115734,2023-10-10 00:00:00.000,
109746,2023-05-09 15:53:35.863,2023-05-09 15:53:35.863,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Shop our bundles and mix packs today! ,,https://t.cfjump.com/90610/o/109746,2023-05-09 00:00:00.000,
117137,2023-11-09 13:48:09.060,2023-11-09 13:48:09.060,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Save $20 on THE ALTINA TASTER PACK,End date TBC,https://t.cfjump.com/90610/o/117137,2023-11-09 00:00:00.000,
117138,2023-11-09 13:50:20.077,2023-11-09 13:50:20.077,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Save $8 on ALTINA ROSÉ ALL DAY BUNDLE,End date TBC,https://t.cfjump.com/90610/o/117138,2023-11-09 00:00:00.000,
115997,2023-10-18 09:06:11.017,2023-10-18 09:06:11.017,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,$10 off ALTINA ENTERTAINERS' BUNDLE,"No code needed
Valid until stock lasts",https://t.cfjump.com/90610/o/115997,2023-10-18 00:00:00.000,
135212,2025-02-19 11:05:31.640,2025-02-19 11:05:31.640,85422,https://c.cfjump.com/Avatars/d67dcc1b-b693-45b9-a090-e2539d57a0ea.png,Altina Drinks,Free Shipping on orders over $140.  Flat rate $8 shipping for all other orders,T&Cs apply,https://t.cfjump.com/90610/o/135212,2025-02-19 00:00:00.000,
104958,2022-12-01 10:09:57.303,2022-12-01 10:10:39.413,71708,https://c.cfjump.com/Avatars/a54049ec-300d-4e6a-8502-0fa6fbd58a12.png,Ark Swimwear,Model search ,,https://t.cfjump.com/90610/o/104958,2022-12-01 00:00:00.000,
99231,2022-07-26 15:12:35.760,2025-08-12 08:10:26.333,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Free Shipping on orders over $79.00* (Australian customers only),,https://t.cfjump.com/90610/o/99231,2022-07-26 00:00:00.000,
99235,2022-07-26 15:41:25.173,2025-08-12 08:10:13.473,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Free shipping over $150 AUD (Australian customers only),For purchases over $150,https://t.cfjump.com/90610/o/99235,2022-07-26 00:00:00.000,
99238,2022-07-26 15:44:11.377,2025-08-12 08:12:36.227,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Stack and save with 20% off all stacks,prices as marked,https://t.cfjump.com/90610/o/99238,2022-07-26 00:00:00.000,
131741,2024-11-20 05:22:07.600,2024-11-20 05:22:07.600,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Take 30% off or more on sale earrings!,,https://t.cfjump.com/90610/o/131741,2024-11-20 00:00:00.000,2025-12-31 23:59:59.000
131742,2024-11-20 05:23:09.787,2024-11-20 05:23:09.787,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Take 30% off or more on discount rings,,https://t.cfjump.com/90610/o/131742,2024-11-20 00:00:00.000,2025-12-31 23:59:59.000
122995,2024-03-14 05:08:28.773,2025-08-12 08:11:01.023,80434,https://c.cfjump.com/Avatars/52bb6075-49b1-4bb9-ae88-30efbb629baf.png,Arms Of Eve,Sign up to Arms Of Eve Tribe and get 10% off,Sign up to Arms Of Eve Tribe and get 10% off,https://t.cfjump.com/90610/o/122995,2024-03-14 00:00:00.000,
84821,2021-08-26 13:13:42.520,2021-08-26 13:13:42.520,75358,https://c.cfjump.com/Avatars/7469c85c-2fae-44f2-9c64-9ecf30d1b95f.png,AROMABABY,Buy Now Pay Later with Afterpay,,https://t.cfjump.com/90610/o/84821,2021-08-26 00:00:00.000,
48177,2018-10-23 17:53:19.697,2023-12-07 15:52:33.370,60960,https://c.cfjump.com/Avatars/09c37b07-8254-47d8-99df-c2f7aeddcc9d.png,Aster & Oak,FREE SHIPPING OVER $100 AUSTRALIA WIDE,Spend over $100 for Free Shipping Australia Wide! ,https://t.cfjump.com/90610/o/48177,2018-10-23 00:00:00.000,
123031,2024-03-14 15:59:15.350,2024-03-14 15:59:15.350,60960,https://c.cfjump.com/Avatars/09c37b07-8254-47d8-99df-c2f7aeddcc9d.png,Aster & Oak,Easter Collection Is LIVE!,"Welcome to our magical Easter collection! The sweetest mix of the most adorable fluffy bunnies, the softest pink florals and neutral bunny patterns. Perfect for the little ones in your life, these non-chocolate gifts will surely bring a smile to their faces. Shop now and make this Easter one to remember!",https://t.cfjump.com/90610/o/123031,2024-03-14 00:00:00.000,
123032,2024-03-14 16:00:27.367,2024-03-14 16:00:27.367,60960,https://c.cfjump.com/Avatars/09c37b07-8254-47d8-99df-c2f7aeddcc9d.png,Aster & Oak,AW24 Drop One Collection Is LIVE!,"Welcome to the Baby Autumn/Winter Collection from Aster & Oak! Our collection features a wide range of cozy and stylish clothing options for your little one. Made from high-quality, organic cotton, each piece is designed to keep your baby warm, comfortable, and stylish during the colder months.

Our knitwear pieces are a standout feature of this collection. From our Knit Jumpers, Cardigan and knit rompers, our knitwear is perfect for layering and keeping your baby snug and warm. 

All of our kids winter clothes collection is made from organic cotton, which means it's gentle on your baby's skin and easy to care for. Browse our adorable collection today and get ready to rug up!",https://t.cfjump.com/90610/o/123032,2024-03-14 00:00:00.000,
43474,2018-07-03 15:32:05.757,2022-07-01 12:39:05.853,57654,https://c.cfjump.com/Avatars/16ccc019-c98e-4697-98dd-6bce0e950b64.png,AURA Home,Free Shipping for all orders over $200 within Australia,,https://t.cfjump.com/90610/o/43474,2018-07-03 00:00:00.000,
43476,2018-07-03 15:32:24.227,2018-07-03 15:32:24.227,57654,https://c.cfjump.com/Avatars/16ccc019-c98e-4697-98dd-6bce0e950b64.png,AURA Home,Free 30 day returns within Australia,,https://t.cfjump.com/90610/o/43476,2018-07-03 00:00:00.000,
98014,2022-06-21 10:39:28.947,2022-06-21 10:39:28.947,57654,https://c.cfjump.com/Avatars/16ccc019-c98e-4697-98dd-6bce0e950b64.png,AURA Home,Shop Luxury Laundry Accessories,,https://t.cfjump.com/90610/o/98014,2022-06-21 00:00:00.000,
